Subscriber Number,Zone,Meter type,Apr.23,Mai.23,Jun.23,Jul.23,Aug.23,Sep.23,Okt.23,Nov.23,Dez.23,Jan.24,Feb.24,Mär.24,Apr.24
1’022,1’035,Polish,28,28,28,30,30,30,10,11,5,10,30,30,5
1’024,1’035,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
1’027,1’035,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
1’032,1’035,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
1’320,1’135,factories,30,30,30,30,30,30,30,0,5,5,5,5,30
1’565,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
1’746,1’035,Polish,10,12,12,8,12,12,10,13,10,10,10,10,5
1’930,1’035,Polish,30,28,28,30,30,30,10,28,10,10,10,20,5
2’050,1’135,Polish,0,0,0,0,23,0,0,0,0,0,30,30,30
2’450,1’035,Polish,13,12,12,12,10,10,10,10,0,0,10,15,5
2’453,1’035,Polish,10,7,7,8,7,8,10,10,20,10,0,1,9
2’493,1’134,Polish,1,10,10,0,0,0,0,0,0,0,0,0,0
3’321,1’140,Polish,,,,,,,,,,,,,
3’495,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
3’665,1’036,Polish,25,25,25,20,10,25,30,30,25,25,20,20,25
4’390,1’035,Polish,,,,,,,,,,,,,
4’426,1’036,Polish,1,1,1,20,14,15,15,15,10,0,10,5,10
4’772,1’041,Polish,0,0,0,0,0,0,0,0,5,10,10,10,10
4’928,1’035,Polish,0,0,0,0,0,0,10,13,10,10,10,10,5
6’596,1’036,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
6’722,1’035,Polish,0,20,20,0,8,15,10,10,10,10,10,10,5
7’245,1’032,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
7’370,1’035,Polish,15,0,0,15,15,20,10,10,20,10,0,1,10
7’428,1’034,Polish,15,15,15,15,15,15,30,30,30,40,40,40,15
7’645,1’035,Polish,31,27,27,30,30,30,10,10,20,10,30,30,5
7’931,1’035,Kart meter,0,0,0,20,,,,,,,,,
8’203,1’035,Polish,30,30,30,30,25,60,10,12,0,10,25,25,5
8’215,1’035,Polish,30,30,30,30,30,30,10,10,10,10,10,10,10
8’867,1’035,Polish,28,25,25,28,27,28,10,14,10,10,10,15,5
9’011,1’136,Polish,80,80,80,80,80,80,80,80,80,80,80,80,80
9’065,1’035,factories,10,10,10,10,10,10,10,10,10,10,10,15,5
9’084,1’035,Polish,20,15,15,15,27,20,10,13,0,10,10,10,5
9’094,1’032,Polish,1,1,1,0,0,0,20,0,20,0,0,0,0
9’279,1’035,Polish,8,10,10,10,8,10,10,14,10,10,10,15,5
9’395,1’035,Polish,65,40,40,70,60,60,10,12,10,10,30,20,5
9’399,1’035,factories,18,0,0,12,15,30,10,27,15,30,30,25,20
9’400,1’035,Polish,20,20,20,25,20,24,10,11,10,10,10,15,5
9’401,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
9’402,1’035,Polish,15,15,15,20,15,18,10,13,10,10,15,15,1
9’409,1’035,Polish,10,12,12,10,8,8,10,11,10,10,15,15,5
9’412,1’035,Polish,32,50,50,30,30,40,10,13,20,10,15,15,5
9’413,1’035,Polish,0,0,0,0,0,0,10,13,10,10,10,10,5
9’414,1’035,Polish,8,10,10,10,10,5,10,13,10,10,10,10,5
9’415,1’035,Polish,3,7,7,20,20,5,10,10,10,10,10,10,5
9’416,1’035,Polish,15,10,10,8,15,10,10,14,10,30,30,30,5
9’418,1’035,Polish,8,8,8,3,8,3,10,13,1,10,10,14,10
9’421,1’035,Polish,50,15,15,10,12,15,10,14,10,10,10,10,0
9’427,1’035,Polish,15,15,15,0,25,19,10,13,10,10,10,10,0
9’428,1’035,Polish,1,1,1,2,5,2,10,3,10,10,10,10,5
9’429,1’035,Polish,0,0,0,0,0,0,10,13,10,10,10,10,5
9’430,1’035,Polish,8,20,20,20,20,20,20,20,20,20,20,20,20
9’435,1’035,Polish,20,30,30,30,25,25,10,10,10,10,30,30,5
9’440,1’035,Polish,15,25,25,20,20,30,10,13,15,10,10,10,5
9’446,1’035,Polish,0,0,0,0,0,0,0,0,0,0,0,1,16
9’477,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
9’489,1’035,Polish,4,8,8,0,0,6,10,10,15,10,10,10,0
9’490,1’035,Polish,2,1,1,1,1,1,10,26,10,10,10,15,5
9’539,1’035,Polish,0,0,0,0,0,0,0,0,0,0,15,15,1
9’571,1’035,Polish,20,20,20,30,20,28,10,12,10,10,10,20,10
9’572,1’035,Polish,15,15,15,10,15,15,10,10,10,10,10,5,15
9’573,1’035,Polish,8,10,10,8,7,7,10,10,10,10,10,25,15
9’578,1’035,Polish,12,20,20,12,21,10,10,28,10,30,35,25,5
9’579,1’035,Polish,20,20,20,18,20,20,10,14,10,10,10,15,10
9’607,1’035,factories,28,27,27,8,0,0,10,13,10,10,10,10,10
9’615,1’035,Polish,15,15,15,18,15,15,10,20,10,10,30,20,1
9’649,1’135,Polish,20,20,20,20,20,20,20,0,0,20,20,20,30
9’658,1’035,Polish,28,28,28,8,10,12,10,10,5,10,10,10,5
9’675,1’034,factories,3,3,3,3,3,3,40,40,40,30,30,22,5
9’676,1’035,Polish,12,24,24,0,0,12,10,24,10,10,10,15,5
9’684,1’035,Polish,15,20,20,30,20,20,10,10,10,10,10,5,5
9’689,1’034,Polish,50,55,55,50,50,50,50,50,50,50,50,50,30
9’694,1’034,Polish,5,5,5,5,5,5,5,5,5,5,5,5,15
9’715,1’034,Polish,30,35,35,35,30,30,5,5,5,5,5,5,5
9’716,1’035,Polish,0,0,0,0,50,30,10,10,10,10,10,10,5
9’720,1’034,factories,30,30,30,30,30,30,30,30,30,40,4,4,10
9’721,1’034,Polish,1,1,1,1,1,1,1,1,1,1,1,27,15
9’723,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
9’751,1’035,Polish,0,0,0,0,0,0,0,0,0,0,13,10,5
9’752,1’034,Polish,30,30,30,30,30,30,30,30,30,30,30,30,10
9’768,1’135,factories,60,60,60,60,60,60,60,60,60,60,60,60,50
9’770,1’135,Polish,75,75,75,75,75,75,75,75,75,50,60,60,60
9’772,1’035,Polish,35,30,30,20,20,20,10,12,20,10,10,10,5
9’784,1’135,Polish,14,15,15,5,23,17,13,14,15,18,13,13,14
9’809,1’035,Polish,25,25,25,28,27,28,10,12,10,10,30,30,5
9’814,1’035,Polish,35,50,50,45,30,30,10,11,20,15,30,20,20
9’834,1’135,Polish,20,15,15,19,15,13,17,15,21,20,25,25,15
9’891,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
9’894,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
9’902,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,20,30
9’913,1’135,Polish,50,50,50,50,50,50,50,40,30,30,50,50,50
9’976,1’034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
9’985,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
9’995,1’035,Polish,15,25,25,20,15,20,10,10,20,10,10,10,30
9’998,1’035,Sphinx,20,24,24,20,25,15,10,12,15,10,5,5,5
10’022,1’135,factories,60,60,60,60,60,60,60,60,60,60,50,50,60
10’025,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
10’026,1’135,Polish,50,0,0,50,50,50,50,50,40,40,40,40,40
10’027,1’135,Polish,11,14,14,26,30,30,30,14,4,9,23,23,26
10’030,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
10’031,1’135,Polish,40,40,40,40,30,40,40,50,40,40,40,40,45
10’032,1’135,Polish,30,30,30,0,30,40,0,0,0,0,30,30,30
10’034,1’135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,40
10’041,1’035,without a meter,40,40,40,40,40,40,40,40,40,40,40,40,40
10’042,1’135,Polish,50,50,50,50,50,50,50,50,50,50,40,40,45
10’047,1’135,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
10’048,1’135,Polish,3,5,5,5,15,5,5,5,5,5,5,5,6
10’049,1’135,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
10’095,1’135,factories,50,50,50,50,0,50,50,0,5,5,5,5,40
10’096,1’135,factories,50,40,40,50,50,60,60,50,50,40,40,40,45
10’127,1’035,Polish,25,24,24,28,28,28,10,28,15,10,10,25,20
10’131,1’034,Polish,1,1,1,1,1,1,1,1,1,1,1,1,1
10’136,1’034,Polish,1,1,1,1,1,1,1,1,1,11,14,14,10
10’361,1’035,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
10’512,1’135,Polish,100,100,100,100,100,100,100,0,0,100,5,95,80
10’550,1’035,Polish,20,20,20,28,20,50,10,26,10,10,10,20,10
10’568,1’035,Polish,20,20,20,24,24,25,10,23,10,10,10,10,15
10’569,1’035,factories,50,31,31,35,30,30,10,30,10,10,30,30,10
10’606,1’035,Polish,0,0,0,0,0,25,10,11,15,10,10,10,5
10’609,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
10’641,1’135,factories,30,30,30,30,30,30,30,0,30,5,5,30,30
10’659,1’135,Polish,0,31,31,42,41,33,23,0,0,20,30,30,30
10’666,1’135,factories,60,60,60,80,75,75,50,50,50,30,45,45,45
10’668,1’135,factories,50,40,40,40,40,40,50,50,40,40,40,40,40
10’696,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
10’730,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,0,6
10’731,1’135,factories,50,40,40,40,40,40,40,40,40,40,40,40,45
10’820,1’135,Polish,50,40,40,40,0,0,0,0,0,0,40,40,45
10’821,1’135,factories,40,40,40,40,40,40,40,40,40,40,40,40,40
10’822,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
10’824,1’135,Polish,25,20,20,20,20,20,0,0,0,0,20,30,30
10’856,1’135,Polish,50,50,50,50,50,50,50,0,40,0,40,40,40
10’857,1’135,factories,30,40,40,40,50,50,50,0,50,50,40,40,45
10’871,1’135,Polish,30,18,18,32,40,60,50,47,38,39,26,38,22
10’875,1’135,without a meter,,,,,,,,,,,,,
10’877,1’135,factories,75,50,50,50,40,60,75,75,75,25,50,60,60
10’881,1’035,Polish,8,8,8,10,12,10,10,12,10,10,10,10,5
10’900,1’135,Polish,50,50,50,50,50,50,50,50,50,50,50,50,55
10’902,1’135,Polish,50,50,50,50,50,60,40,50,50,50,50,50,45
10’911,1’135,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
10’916,1’135,Polish,40,30,30,40,40,40,40,40,40,40,40,40,40
10’920,1’135,Polish,0,0,0,50,0,0,0,0,0,0,30,30,30
10’925,1’035,Polish,0,0,0,0,0,0,0,0,0,0,0,20,14
10’965,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
11’011,1’135,factories,4,5,5,5,5,5,5,5,5,5,5,5,6
11’027,1’035,Polish,20,20,20,20,25,25,10,14,10,10,30,30,30
11’086,1’034,Polish,1,1,1,1,1,1,1,1,1,1,1,1,5
11’133,1’135,Polish,75,75,75,75,75,75,75,75,75,75,75,70,50
11’134,1’135,factories,5,5,5,5,25,30,30,30,5,5,5,5,10
11’139,1’035,Polish,11,10,10,8,8,10,10,0,10,10,2,5,5
11’147,1’035,Polish,20,20,20,10,20,20,10,10,10,10,10,15,5
11’182,1’135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,40
11’204,1’035,Polish,12,15,15,10,12,20,10,10,10,10,10,10,5
11’205,1’035,factories,8,8,8,5,10,10,10,19,10,10,5,10,5
11’206,1’035,Polish,10,10,10,10,8,10,10,30,11,10,30,30,5
11’215,1’035,Polish,75,70,70,80,80,80,10,0,10,10,24,25,5
11’216,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
11’228,1’032,Polish,10,10,10,10,10,10,5,10,10,10,10,10,5
11’243,1’042,Polish,5,5,5,5,5,5,5,5,5,5,5,5,10
11’277,1’034,factories,30,30,30,30,30,30,30,30,30,30,30,30,20
11’319,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
11’325,1’035,Polish,2,5,5,2,4,2,10,12,10,10,30,30,20
11’326,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
11’327,1’035,Polish,8,5,5,4,7,8,10,13,10,10,10,10,0
11’355,1’035,Polish,15,20,20,20,15,20,10,10,20,10,15,15,5
11’374,1’034,Polish,30,30,30,30,30,30,25,25,25,25,10,10,10
11’378,1’035,Polish,2,1,1,3,5,2,10,0,10,10,20,20,20
11’388,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
11’401,1’035,Polish,18,20,20,25,24,24,10,12,10,10,10,20,15
11’405,1’034,factories,30,30,30,30,30,30,30,30,30,30,30,30,10
11’411,1’035,Polish,15,20,20,27,20,12,10,11,10,10,0,5,5
11’412,1’035,Polish,10,12,12,10,10,15,10,26,10,10,10,5,5
11’434,1’034,Polish,1,1,1,1,1,1,1,1,1,1,1,20,20
11’439,1’035,Polish,20,20,20,20,30,30,10,30,10,10,10,0,0
11’440,1’035,Polish,8,10,10,12,10,10,10,10,10,10,10,15,5
11’446,1’034,Polish,50,50,50,50,50,50,50,50,50,50,50,50,20
11’447,1’034,Polish,50,50,50,50,50,50,50,50,50,50,50,50,19
11’461,1’035,Polish,13,15,15,15,15,15,10,13,10,10,10,25,15
11’464,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
11’506,1’134,Polish,25,10,10,20,20,20,20,30,30,30,30,30,30
11’517,1’035,Polish,10,9,9,5,8,8,10,10,1,9,9,9,2
11’538,1’035,Polish,15,30,30,40,35,45,10,0,10,10,30,30,5
11’540,1’034,Polish,15,15,15,15,40,40,40,40,40,40,20,30,4
11’553,1’035,Polish,10,12,12,10,10,10,10,12,10,10,10,10,5
11’563,1’234,Polish,30,30,30,30,30,30,30,30,30,30,30,30,20
11’564,1’034,Polish,50,50,50,50,50,50,50,50,50,50,50,50,50
11’567,1’034,factories,30,30,30,30,30,30,30,30,30,30,30,30,20
11’568,1’234,Polish,20,20,20,20,20,20,20,20,20,20,20,20,15
11’569,1’134,Polish,40,10,10,40,40,40,40,40,40,40,40,40,40
11’576,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
11’611,1’134,Polish,11,10,10,10,10,10,10,10,10,10,10,10,10
11’614,1’034,factories,40,40,40,40,40,40,40,40,40,40,40,40,20
11’617,1’234,Polish,10,10,10,10,10,10,10,10,20,20,10,10,10
11’619,1’034,Polish,50,50,50,50,50,50,50,50,50,50,50,5,10
11’620,1’134,Polish,10,10,10,20,10,10,20,20,20,20,20,20,20
11’628,1’134,Polish,4,10,10,10,10,10,10,15,20,20,20,20,20
11’629,1’134,Polish,25,10,10,10,10,10,10,15,15,15,15,15,15
11’631,1’034,Polish,20,20,20,20,20,20,20,20,20,20,25,25,25
11’671,1’234,Polish,30,30,30,30,30,30,30,30,30,30,30,30,20
11’683,1’034,Polish,5,5,5,5,5,5,4,4,4,10,20,20,20
11’692,1’135,Polish,60,50,50,60,40,50,50,50,50,50,50,50,60
11’719,1’034,Polish,10,10,10,10,10,0,11,11,11,23,1,1,13
11’726,1’134,Polish,10,10,10,10,10,10,20,20,20,20,20,20,20
11’770,1’034,Polish,4,4,4,4,4,4,5,5,5,1,1,1,1
11’783,1’135,Polish,40,40,40,40,30,30,30,50,5,25,30,30,40
11’789,1’035,Polish,25,20,20,25,27,28,10,28,10,10,10,20,20
11’827,1’134,Polish,5,10,10,15,10,10,10,15,15,15,15,15,15
11’849,1’035,Polish,20,12,12,15,15,24,10,20,0,20,20,20,20
11’878,1’035,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
11’893,1’035,Polish,15,15,15,12,18,12,10,11,10,10,10,10,0
11’911,1’035,Polish,0,0,0,0,0,35,10,27,10,10,10,20,20
11’913,1’035,Polish,0,12,12,15,20,15,10,0,11,10,10,15,5
11’917,1’035,Polish,20,20,20,20,20,20,20,0,20,20,20,20,20
11’918,1’035,Polish,30,30,30,30,40,20,10,10,10,10,10,5,5
11’928,1’034,Polish,,,,,,,,,,,,,
11’932,1’035,Polish,15,15,15,15,12,15,10,14,10,10,10,10,5
11’933,1’034,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
11’945,1’035,Polish,12,20,20,12,12,15,10,11,10,10,10,10,5
11’951,1’034,Polish,50,50,50,50,50,50,5,5,5,10,10,10,15
11’954,1’035,factories,20,27,27,28,8,30,10,10,10,10,10,15,5
11’957,1’035,Polish,25,25,25,25,20,25,10,10,10,10,10,10,15
11’958,1’035,Polish,8,10,10,28,10,15,10,0,10,10,10,6,5
11’964,1’035,Polish,20,20,20,25,20,20,10,13,10,10,10,15,10
11’965,1’035,Polish,,,,,,,,,,,,,
11’966,1’035,Polish,10,8,8,8,10,10,10,0,10,10,10,19,5
11’967,1’035,Polish,30,27,27,28,27,28,10,30,10,10,10,17,5
11’969,1’035,Polish,28,27,27,28,28,28,10,11,10,10,10,15,5
11’973,1’035,Sphinx,1,5,5,1,2,2,10,0,10,10,10,10,0
11’977,1’034,Polish,1,1,1,1,2,2,3,3,3,14,15,1,1
11’979,1’035,Polish,20,28,28,35,50,30,10,25,10,10,10,10,5
11’980,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
11’982,1’035,Polish,12,8,8,12,10,10,10,11,10,10,10,15,5
11’983,1’035,Polish,12,18,18,12,15,12,10,11,10,10,10,5,5
11’984,1’035,Polish,10,20,20,25,20,30,10,11,10,10,10,5,5
11’985,1’035,Polish,4,5,5,3,5,7,10,30,10,10,10,20,5
11’990,1’035,Polish,8,10,10,8,8,10,10,25,10,10,10,15,5
11’991,1’034,factories,20,20,20,20,20,20,20,20,20,20,1,1,1
11’995,1’035,Polish,0,0,0,0,0,0,10,10,10,30,30,25,10
12’033,1’035,Polish,12,15,15,15,10,10,10,11,10,10,10,20,5
12’062,1’134,Polish,10,10,10,0,0,0,0,0,0,0,0,0,0
12’074,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
12’075,1’134,Polish,11,10,10,10,10,10,10,15,10,10,10,10,10
12’076,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
12’077,1’134,Polish,11,10,10,1,1,1,1,1,10,10,10,10,10
12’083,1’046,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
12’109,1’034,Polish,1,1,1,1,1,1,1,1,1,1,1,1,10
12’110,1’034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,10
12’121,1’035,Polish,13,15,15,10,12,12,10,0,10,10,5,5,4
12’133,1’034,Polish,40,40,40,40,40,40,40,40,40,40,40,40,20
12’134,1’034,Polish,1,1,1,1,1,1,1,1,1,1,1,1,2
12’135,1’034,factories,50,50,50,5,30,30,30,30,30,30,30,30,20
12’137,1’034,Polish,10,10,10,10,10,10,10,10,10,10,10,10,5
12’139,1’034,Polish,10,10,10,10,10,10,10,10,10,13,11,10,9
12’151,1’034,Polish,15,15,15,15,20,20,30,30,30,50,30,30,15
12’152,1’032,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
12’153,1’034,Polish,1,1,1,1,1,1,1,1,1,1,1,1,3
12’155,1’035,Polish,3,1,1,2,3,0,10,12,10,10,10,0,0
12’166,1’135,Polish,30,30,30,30,30,30,30,30,20,20,20,20,25
12’167,1’135,factories,50,40,40,40,40,40,50,50,40,40,40,40,40
12’195,1’134,Polish,20,10,10,10,10,10,10,15,15,15,15,15,15
12’201,1’035,Polish,18,20,20,27,28,28,10,11,20,15,45,30,1
12’220,1’135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,45
12’230,1’046,Polish,30,20,20,30,20,30,25,25,30,30,30,30,20
12’259,1’035,Polish,15,15,15,12,15,10,10,13,10,10,10,10,10
12’277,1’135,Polish,30,30,30,30,30,30,30,0,5,5,5,5,20
12’287,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
12’295,1’134,Polish,0,10,10,10,20,20,20,0,20,0,20,0,20
12’296,1’134,Polish,15,10,10,10,10,10,10,10,15,15,15,15,15
12’297,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
12’299,1’134,Polish,10,10,10,20,10,10,10,15,15,15,15,15,15
12’304,1’035,Polish,12,0,0,8,15,3,10,30,10,10,10,16,5
12’306,1’034,Polish,15,15,15,15,15,15,15,15,15,15,20,20,20
12’308,1’034,Polish,10,10,10,10,10,10,10,10,10,14,14,14,2
12’310,1’035,Polish,20,20,20,20,20,20,20,14,20,20,20,20,20
12’313,1’035,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
12’317,1’034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
12’320,1’134,Polish,20,10,10,10,20,10,10,10,10,10,10,10,10
12’323,1’034,factories,30,30,30,30,30,30,30,30,30,20,20,20,20
12’391,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
12’392,1’134,factories,30,10,10,30,30,30,30,30,30,30,30,30,30
12’394,1’134,Polish,60,60,60,60,60,60,60,60,60,60,60,60,60
12’395,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
12’396,1’134,Polish,0,0,0,0,0,0,0,0,0,0,10,10,10
12’397,1’134,Polish,60,60,60,60,60,60,60,60,60,60,60,60,60
12’402,1’034,Polish,20,20,20,20,20,20,20,20,20,20,20,30,20
12’404,1’234,Polish,30,30,30,30,30,30,30,30,30,30,30,30,20
12’414,1’035,Polish,2,8,8,0,8,5,10,13,10,10,10,15,5
12’415,1’034,Polish,10,10,10,10,10,10,10,10,10,25,25,25,20
12’424,1’035,Polish,24,20,20,20,15,18,10,12,10,10,10,30,25
12’446,1’135,Polish,5,5,5,5,5,30,30,30,5,5,5,15,20
12’452,1’035,Polish,0,0,0,0,0,0,10,11,10,10,10,15,5
12’475,1’034,Polish,50,6,6,6,13,13,2,2,2,20,15,15,16
12’485,1’035,Polish,0,0,0,0,0,0,10,15,10,10,0,1,4
12’572,1’035,Polish,8,10,10,10,10,10,10,12,10,10,10,10,10
12’579,1’035,Polish,18,15,15,10,12,12,10,0,10,12,0,0,25
12’659,1’034,Polish,30,30,30,30,30,30,30,30,30,30,30,16,10
12’784,1’035,Polish,0,0,0,0,0,0,10,10,10,10,10,5,5
12’785,1’035,Polish,12,10,10,15,10,10,10,14,0,0,10,10,5
12’792,1’034,Polish,20,20,20,20,20,20,20,20,20,20,16,16,10
12’793,1’034,Polish,1,1,1,1,3,3,2,2,2,20,20,20,20
12’799,1’034,Polish,1,1,1,1,1,1,1,1,1,2,2,2,3
12’801,1’034,Polish,1,1,1,1,1,1,1,1,1,15,20,20,20
12’802,1’035,Polish,0,0,0,2,3,0,10,11,10,10,10,5,5
12’817,1’035,Polish,0,0,0,0,0,0,10,12,10,10,10,5,5
12’837,1’131,Polish,11,8,8,20,20,10,20,10,23,10,10,10,15
12’865,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
12’877,1’034,Polish,30,30,30,30,30,30,30,30,30,20,20,20,7
12’879,1’035,Polish,0,10,10,8,8,2,10,19,10,10,30,30,5
12’901,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
12’918,1’035,Polish,30,25,25,25,25,25,10,10,10,10,10,0,5
12’930,1’042,Polish,10,10,10,20,15,15,10,10,10,10,10,10,0
12’934,1’035,Polish,20,20,20,8,15,15,10,12,10,30,30,30,0
12’935,1’035,Polish,20,10,10,8,8,10,10,14,10,10,10,10,30
12’945,1’034,Polish,20,20,20,20,20,20,4,4,4,4,5,5,2
12’950,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
12’953,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
12’999,1’035,Polish,,,,,,,,,,,,,
13’001,1’035,Polish,1,2,2,3,2,1,10,12,20,30,30,30,0
13’022,1’135,Polish,0,0,0,0,0,0,11,30,30,30,30,30,30
13’033,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
13’034,1’135,Polish,0,0,0,0,0,0,0,0,0,20,20,20,20
13’086,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
13’110,1’135,without a meter,40,40,40,40,40,40,40,40,40,40,40,40,40
